system:index,NDVI,temperature,.geo
0,-0.03196262940764427,30.312032810000005,"{""type"":""Point"",""coordinates"":[76.20123856775608,9.949004652891833]}"
1,-0.020842745900154114,30.108660620000023,"{""type"":""Point"",""coordinates"":[76.26317805094291,9.797688867923029]}"
2,0.2096642106771469,35.35532132000003,"{""type"":""Point"",""coordinates"":[76.38495003079244,9.890297880980016]}"
3,0.1505729854106903,38.233294160000014,"{""type"":""Point"",""coordinates"":[76.31001449662979,10.036807695492236]}"
4,-0.0355936661362648,30.373557170000026,"{""type"":""Point"",""coordinates"":[76.2604808136183,9.859357832976556]}"
5,-0.008228792808949947,30.01637407999999,"{""type"":""Point"",""coordinates"":[76.17596199128712,9.86833611163347]}"
6,-0.023791935294866562,30.58376540000006,"{""type"":""Point"",""coordinates"":[76.30358761306263,9.903161818806495]}"
7,0.2850874960422516,35.24252666000001,"{""type"":""Point"",""coordinates"":[76.33348264703204,9.843145321289963]}"
8,0.18618109822273254,31.68778586000002,"{""type"":""Point"",""coordinates"":[76.23695859716598,10.034691900120334]}"
9,0.25452518463134766,34.84945435999998,"{""type"":""Point"",""coordinates"":[76.22370094300659,9.996977247834767]}"
10,-0.030280565842986107,30.125750720000042,"{""type"":""Point"",""coordinates"":[76.20272904875878,9.95184472875833]}"
11,0.2161736786365509,32.588434129999996,"{""type"":""Point"",""coordinates"":[76.25575477231399,9.911829950794475]}"
12,-0.03356540948152542,30.26588953999999,"{""type"":""Point"",""coordinates"":[76.22798972819974,9.967624439680442]}"
13,0.27857115864753723,32.390188970000025,"{""type"":""Point"",""coordinates"":[76.26405430103934,10.050605475209514]}"
14,0.2157975733280182,34.68538940000002,"{""type"":""Point"",""coordinates"":[76.39288682617072,9.891963854226967]}"
15,-0.009840150363743305,29.686535150000026,"{""type"":""Point"",""coordinates"":[76.15887790826217,9.90242551642935]}"
16,-0.008146457374095917,29.806165850000014,"{""type"":""Point"",""coordinates"":[76.1912518316317,9.84274745252286]}"
17,0.39090272784233093,33.51813557000003,"{""type"":""Point"",""coordinates"":[76.31869135255201,9.82251624691713]}"
18,-0.01174152921885252,29.52417920000002,"{""type"":""Point"",""coordinates"":[76.15301013880354,9.986041669924195]}"
19,0.30496352910995483,35.97398294000004,"{""type"":""Point"",""coordinates"":[76.39970277696298,9.908797700380985]}"
20,-0.01614593341946602,30.911895320000013,"{""type"":""Point"",""coordinates"":[76.26549100349536,10.012047850790427]}"
21,0.21348966658115387,36.035507300000006,"{""type"":""Point"",""coordinates"":[76.32903737942316,9.863116561690699]}"
22,0.21027345955371857,34.19661254000005,"{""type"":""Point"",""coordinates"":[76.25864210545456,9.923525410757113]}"
23,-0.0326201356947422,30.165057950000033,"{""type"":""Point"",""coordinates"":[76.24551177726417,9.904038239117687]}"
24,0.16609801352024078,32.92852712000001,"{""type"":""Point"",""coordinates"":[76.32236772469945,9.828317366416718]}"
25,0.21089766919612885,38.099991380000006,"{""type"":""Point"",""coordinates"":[76.284313770868,9.968880643616533]}"
